number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
8012,Land Fighting Modular Robotic Machine For Enemy Combat Robotics Countermeasures,"A Land Fighting Modular Robotic Machine For Enemy Combat Robotics Countermeasures Is Intended For Use In Military And Special Operations Of Land Forces As Specialized Military Equipment For Severe Suppression Of Fighting Activity Of Broad Range Of Fighting Land-Based Robots For Multiple Purposes. The Surface Fighting Modular Robotic Machine Is A Movable Radio-Controlled Installation That Comprises At Least One Power-Autonomous Transport Trolley-Truck Arranged With Possibility Of Combination By Means Of Hinge Joints With At Least One Like Trolley-Track To Transport Block,  It Is Arranged As A Flat Platform With Holders For Fixation Of Support Wheels Provided With All-Wheel Drive Electromechanical Mover Of Wheel,  Caterpillar Or Combined Type,  To The Bearing Wheels Of This Traction Drive Electric Motors Are Built In. The Flat Platform Of The Trolley-Truck With Functional Counteraction Equipment Fixed On It Is Provided With Protected Inner Cavities For Placement Of Sources Of Electric Energy Of Electro-Chemical Or Collection,  Or Combined Type Electric Energy Conveters For Power Supply For Electric Motors,  Sensors Of The System Of Control Of The Electric Motors,  Board Electronic-Computing Equipment For Control And Communication,  Drive Devices And Mechanisms Of Manipulators,  Armament And Supplementary Equipment,  Sensors Of Reconnaissance And Parameters Of Outer Situation. According To The Invention,  Flat Edge Electric Motors Of Turn Of Bearing Wheels Are Built In To The Platform,  Those Are Electrically Connected To Traction Drive Electric Motors,  On The Vertical Shaft Of Each Of Those,  Installed In Bearing Unit,  Holders Of Respective Bearing Wheels Are Rigidly Fixed. The Vertical Shafts Of The End Electric Motors Of Turn Are Placed In The Tops Of The Square The Vertical Axis Of Symmetry Of Which Coincides With The Vertical Axis Of Symmetry Of The Platform,  And The Functional Counteraction Equipment Additionally Includes An Installed On At Least One Trolley-Track Complex Of Radio-Electronic Suppression Of Operability Of Receiving-Transmitting Radio-Apparatuses Of Enemy Combat Robotics.",HRYHORIEV OLEKSII PETROVYCH;  HULIAK OLEH VIKTOROVYCH;  DANYK YURII HRYHOROVYCH;  CHEPKOV IHOR HRYHOROVYCH;  KOVALYSHYN SERHII SEMENOVYCH;  BELIKOV VIKTOR TRYFONOVYCH,UA103147C2,2013/9/10 0:00,UAA201306144,2013/5/17 0:00,F41H7/00,F41H7/00; B60K7/00; B62D9/00; B62D61/00; F41H13/00
8013,The Method Of Aerial Reconnaissance,"The Method Of Aerial Reconnaissance Includes Installation On Unmanned Aircraft Payload For Data Transmission To Ground Equipment,  Which Shoot With Guns Or Launch With Starting Devices. In The Direction Of Observation Emit Capsule That When You Reach The Desired Height Fills The Gas Drone In The Form Of Elastic Spherical Beads With A Smooth Surface,  Which In Spherical Coordinates Displayed Everything That Falls Into The Opposite Field Light Rays,  Ground-Based Equipment Provides High-Speed Recording And Recording Flying Unmanned Aircraft.",SALNYK IURII PAVLOVYCH;  SMYCHOK VASYL DMYTROVYCH;  VANKEVYCH PETRO IVANOVYCH;  IVANYK YEVHENII GRYGOROVYCH,UA103179U,2015/12/10 0:00,UAU201504620,2015/5/13 0:00,F41H13/00,F41H13/00; G01C11/00
8029,Research On Environmental Impact Factors & Focusing On Environmental Impact,"The Automatic Sight Distance System Of The Charge Fire System Combat Machine Includes Machine Pitch Angle Indicators In The Horizontal And Horizontal Planes,  Which Are Installed In The Cabin. The System Is Also Equipped With A Compressor Installed On The Machine Motor,  A Receiver Installed On The Machine Frame,  An Air Circuit Connecting The Pneumatic Components,  Two Solenoid Valves Installed At The Front End Of The Machine Walking,  Tires Connected To Each Wheel,  All Air Circuit Connectors,  Air Circuits And Air Circuit Connectors. In Addition,  The System Is Equipped With Two Solenoid Valves,  Which Are Installed On The Middle Bridge Of The Walking Part Of The Machine. One Of The Valves Is Connected To The Wheeled Tires On The Right Side Of The Middle And Rear Axles,  And The Second Valve Is Connected To The Wheeled Tires On The Left Side Of The Same Axle.",NATIONAL ACADEMY OF THE SUPPORT VICTIMS,UA113628U,2017/2/10 0:00,UAU201607396,2016/7/7 0:00,F41A23/00,F41A23/00; B60C23/00; F41H7/00
8031,The Focus Of Environmental Impact Factors Research Is Environmental Impact Factors.,"The Method Of Forming Bp Accumulation Effect Of Composite Blast Hole Charge Includes Forming Bp Charge Grain With Inert Shell Structure,  Placing Gun Body And Attacker On The Side Of Blast Hole,  Charging Accumulation Effect In Inert Shell,  Switching Into An Integral Explosion Network,  And Slowing Down Blasting. In Doing So,  The Chuck Is First Made Of Polyethylene. Its Diameter Is Small,  The Drilling Diameter Is Small,  And The Height Exceeds The Accumulated Charge Diameter,  Which Will Ignite Its End Face And Side Face. In The Spare End Face,  The Chuck Mounts An Insert Corresponding To The Diameter Of The Welded Bp,  Further Fills The Melted Bp Into Its Center,  Then Places A Spherical Hollow Insert With A Diameter Smaller Than The Diameter Of The Pad Bp In The Center Of The Bp Chuck,  And Then Fills It Into The Second Pad. After The Melted Bp In The Cartridge Freezes,  Take Out The Gasket,  Install The Appropriate Detonating Capsule Fighter,  And Switch,  Including Their Entry Into The Explosion Network. Next,  The Prepared Bp Pinch Charge Is Placed In The Well Site,  And The Main Explosive,  Granular Or Emulsified Bp,  Is Pumped Downhole To Form An All-Solid Bp Charge. After Installation,  The Muzzle Of The Wellhead Is Sealed With A Tapping Or Grouting Device.",Belikov Victor Trifonovich; Gregory Alexander Petrovich; Player Oleg Victorovich; §¹§Ö§á§Ü§à§Ó §ª§Ô§à§â §¢§à§â§Ú§ã§à§Ó§Ú§é; §¬§â§Ñ§Ó§é§å§Ü §°§Ý§Ö§Ô §ª§Ó§Ñ§ß§à§Ó§Ú§é; Kovalishin Sergei Semenovich; §¤§å§ã§Ý§Ñ§Ü§à§Ó §°§Ý§Ö§Ô §®§Ú§ç§Ñ§Û§Ý§à§Ó§Ú§é; Dick Valen Tin Alexandrovich,UA114783U,2017/3/27 0:00,UAU201606731,2016/6/21 0:00,F42D1/08,F42D1/08; F42D3/04
8035,Research On The Movement And Movement In The Capital Circle & Taking The Capital Circle As An Example,"The Invention Belongs To The Field Of Weapons,  Military And Special Equipment And Exists In The Form Of Movable Ground Military Robot Devices And Devices. A Self-Elevating High-Pass Modular Covert Combat Application Platform Is Designed In The Form Of A Self-Elevating Horizontal Conveyor. It Is Equipped With Three Active Support Driving Wheels,  Namely,  A Semi-Elliptical Buffer Rocker Arm And A Semi-Elliptical Buffer Rocker Arm Module,  To Form A Direct-Drive Mechanical Driving Wheel In A Wide Wheel Body. The Designated Platform Plate Has A Shielded Sealed Cavity,  Which Can Accommodate Electrochemical,  Energy Storage Or Combined Power Supply. Its Transducer,  Electromechanical Drive Platform For Driving Self-Contained Traction Motor,  Path Sensor For Driving Wheel Drive System And Vehicle-Mounted Computer Communication Equipment Are Controlled. The Module Platform Is Also Equipped With Two Independent Functional Block Modules,  Which Are Used As Vertical Take-Off And Landing Unmanned Aerial Vehicles-Multiple Robots,  And Are Installed On A Support Platform That Can Rotate Around A Horizontal Axis In The End Area Of The Platform,  And They Have Corresponding Semicircular Notches. In Doing So,  A Mechanically Protected Propeller-Type Propeller Block Is Installed On The Multi-Propeller Uav. The Multi-Pronged Wire Is An Autonomous Object,  Which Can Not Only Serve As Aerial Reconnaissance Equipment,  But Also Serve As A Traction Propulsion Device When Moving The Platform In The Ground And Water Environment.",THE MANUFACTURING AUTHORISATION HOLDER,UA118643C2,2019/2/11 0:00,UAA201809490,2018/9/21 0:00,F41H7/00,F41H7/00; B62D61/12; B62D63/02; B64C27/20; B64C29/00; B64C39/02
8045,"Background And Background Of Washington,  D.C.","The Invention Relates To A Cartridge For Shooting Down A Reconnaissance Unmanned Aerial Vehicle With A Jet Bomb,  Under Which A Guild,  A Capsule Igniter And An Embroidered Gunpowder Are Arranged. In Addition,  It Contains An Ignition Hole Saw,  A Reactive Plastic Ball,  Which Is Filled With Impact Elements Supersaturated By Dye Powder (3-4Mm Steel Ball),  Explosives,  Deceleration Saw And Explosion Initiator (Smokeless Gunpowder),  Reactive Nozzle,  Sugar-Free And Incendiary Agent.",Popkov Boris Oleksijovich£» Pompucha Igor Volodimirovich£» Nikiforov Mikola MikolaJovich£» Savland Vitali oleksandrovic; Loza vitali mikolajovich£» Stella Oleg Borisovich£» Tapenko Leonid Ivanovich£»-- Sirenko Igor Pavlovic£» Swab Victor Constantinovich,UA121642U,2017/12/11 0:00,UAU201706519,2017/6/26 0:00,F42B4/02,F42B4/02; F42B8/04; F42B12/36
8051,Observing The Background Of Sars From Centring,"A Method For Accurately Matching A Gun Barrel With An Arrow Target Center Includes Using An External Ballistic Mathematical Model With A Special Laser Device To Align The Gun Body With A Reference Point Or A Removed Positioning Point In The Target Direction. In Order To Eliminate The Error Through The Computer Model Of The Exterior Trajectory,  This Paper Introduces The Correction Of The Displacement Of The Barrel Axis Position From The Original Position When The Inherent Electrical Property Error Of The Fighter Automatic Fire Control System Exists.",National Academy of the Support Victims,UA126286U,2018/6/11 0:00,UAU201800849,2018/1/30 0:00,F41G3/00,F41G3/00
8052,Study On Environmental Influencing Factors,"The Full Line-Of-Sight System Of The Fighter Plane Includes A Vertical And Horizontal Plane Tilt Radar Installed On The Frame,  A Compressor Installed On The Frame,  Two Transceivers Installed On The Frame,  Air Circuit Couplers Installed On Each Frame,  Solenoid Valves Installed On Each Frame And Between The Air Circuit. In Addition,  There Are Two Gear Mechanisms Installed On The Rear Axle Of The Traveling Part Of The Machine,  A Harvester Fixed On The Frame Of The Machine And A Double-Acting Crane Installed In The Cab Of The Machine.",Anatole leonidovich,UA126297U,2018/6/11 0:00,UAU201800959,2018/2/2 0:00,F41A23/00,F41A23/00; B60C23/00; F41H7/00
8061,Research On Microwave Assisted Imaging Technology,"A Method For Starting An Explosive In A Downhole Charge,  Including The Manufacture Of Long Patrol Aircraft,  Corresponding To The Charge Length Of The Explosive,  The Pin Of The Detonating Device Of The Detonating Device Of The Detonating Device Of The Detonating Device Of The Detonating Device Of The Detonating Device Which Is Placed On The Underground With The Explosive Is Fixed On The End Surface Of The Detonating Device,  The Ignition Performance Of The Explosive,  Triggering The Grain,  Forming The Detonation Wave Of The Encounter Directional Channel,  The Formation Of High-Temperature Plasma,  The Initiation Of The Explosive Underground,  The Formation Of A Bonding Layer On Its Inner Surface,  The Formation Of A Layer Of Fine Metal Powder On Its Inner Surface,  And The Patrol Function In The Inner Cavity Gas.",Zav'yalov Stanislav borisovich,UA132280U,2019/2/25 0:00,UAU201807577,2018/7/6 0:00,F42D1/00,F42D1/00; F42B3/00
8063,"Ctanzys-27R,  Constitutional And Legal Commission","The Optical Positioning Station Has A Coupled Laser Rangefinder,  Which Consists Of An Optical Element Group And A Radio Unit. The Optical Mechanical Unit Comprises A Scanning Mechanism,  An Optical Receiving Unit,  An Optical Element Group And A Radio Unit Group,  As Well As A Correction Unit,  A Pneumatic Unit,  An External Power Supply And A Radio Frequency Unit Group. In Addition,  It Has A Combined Receiving Unit,  A Combined Measurement-Weather Unit,  A Combined Radiation Unit,  A Combined Control Unit,  A Combined Power Supply,  A Combined Video Processing Unit And A Combined Electronic Unit To Improve Its Application Efficiency According To The Characteristics Of The Photoelectric Aiming System Of The Interceptor Fighter. The Output Of The External Power Supply Unit Is Connected With The Input Of The Combined Power Supply Unit,  The Combined Electronic Unit In The Optical-Mechanical Unit And The Pneumatic Unit. The Output Of The Scanning Mechanism Is Connected To The Light Receiving Device And The Combined Unit Receiving Device. The Output Of The Optical Receiving Device Is Connected With The Combined Video Processing Unit,  Which Is Bidirectional Communication And Electronically Connected With The Combined Unit. The Combined Power Supply Is Connected To The Inputs Of The Combined Control Unit,  The Combined Radiation Unit And The Combined Measurement-Weather Unit. The Combined Control Unit Is Connected With The Input Of The Combined Radiation Unit,  And Its Output Is Connected With The Light Receiving Unit. The Combined Measurement-Weather Unit Is Coupled To The Input Of The Combined Electronic Unit. The Bidirectional Communication Pneumatic Unit Is Connected With The Light Receiving Device. The Correction Unit Is Electronically Connected To The Combination Unit.",Charles A Howland,UA132704U,2019/3/11 0:00,UAU201809070,2018/8/31 0:00,F41G5/18,F41G5/18; F41G7/26; G01S15/74
8085,Construction Technology,"The Method Of Drilling And Blasting (Bvr) On Rock Steps Includes Drilling The Drilled Holes Along The Upper Armor On The Steps,  Charging Them With Explosives (Bp),  Installing Blasting Nets,  And Charging Bp For Short-Term Blasting. In This Way,  In All Wells Of The Explosion Unit,  When Charging,  The Kd Well Gun With A Nominal 500Ms Is First Lowered Below The Intake Bottom,  And Then The Lower Charge Of Granular Bp Is Formed. At That Completion Of An Indication Operation,  An Inert Gap Is For Over The Bottom Charge,  E. G. From The Plugging Material. After That,  A Nominal 400Ms Kd Fighter Was Placed Above The Formed Inert Gap And Above The Boundary :  The Inert Gap Was An Upper Charge,  The Trace Formed The Upper Charge Of Granular Bp,  And The Charge Was Formed Above The Upper Charge. Next,  The Installation Of The Surface Explosion Network,  As Well As The Traces And Blasting Of The Explosion Blocks Are Carried Out.",REN Mingqi,UA95320U,2014/12/25 0:00,UAU201405188,2014/5/16 0:00,F42D1/02,F42D1/02; F42D3/04
8089,Study On Motor Design Of Rat/Rat Brain Tissue. Part 2 :  Motion Design And Experimental Study Of Rat Brain Tissue. Part 2 :  Motion Design And Experimental Study Of Rat Brain Tissue;  Part 2 :  Section 2 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :  Section 3 :,"The Damage/Injury System Of Unmanned Aerial Vehicle Type Air Targets,  The Subsystem Of Reconnaissance/Identification Of Air Targets,  The Central Command Post Of Suhopu Troops,  And The Active Air Defense Forces Of Missile And Artillery Systems,  Including Army Aviation Helicopters,  Air Force Central Command Post And Air Defense Fighters. The System Further Introduces The Command And Control Station Of Unmanned Aerial Vehicle Or Unmanned Aerial Vehicle Complex,  Unmanned Aerial Vehicle Fighter Equipped With Low-Dimensional And Low-Speed Air Target Defeat Equipment,  Unmanned Aerial Vehicle Equipped With Ground Target Defeat Control System And Unmanned Aerial Vehicle Channel Control System Equipped With Unmanned Aerial Vehicle Information Suppression System Respectively.",,UA99614U,2015/6/10 0:00,UAU201500345,2015/1/16 0:00,F41H11/02,F41H11/02; B64C31/028; B64C31/036; F41H11/04
